model,kf,Accuracy
none,0,0.0
ExplainableBoostingC,0,0.861
ExplainableBoostingC,1,0.8567
ExplainableBoostingC,2,0.8576
ExplainableBoostingC,3,0.8616
ExplainableBoostingC,4,0.8554
RFC,0,0.858
RFC,1,0.8577
RFC,2,0.8563
RFC,3,0.8584
RFC,4,0.8548
GradientBoostingC,0,0.8602
GradientBoostingC,1,0.8539
GradientBoostingC,2,0.8581
GradientBoostingC,3,0.8593
GradientBoostingC,4,0.8538
AdaBoostC,0,0.8572
AdaBoostC,1,0.8541
AdaBoostC,2,0.8547
AdaBoostC,3,0.8565
AdaBoostC,4,0.8508
XGBoostC,0,0.8586
XGBoostC,1,0.8557
XGBoostC,2,0.8573
XGBoostC,3,0.8593
XGBoostC,4,0.8541
